chr3	108107280	108146146	B=8.91;NK=17.10;T_CD4=11.89;T_CD8=8.23;
chrX	77837901	77853623	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr16	18780447	18811987	B=2.22;NK=1.22;T_CD4=0.97;T_CD8=1.20;
chr7	142575529	142578143	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.28;
chrX	161117193	161258213	B=0.00;NK=0.26;T_CD4=0.00;T_CD8=0.00;
chr11	108343354	108414396	B=0.00;NK=0.00;T_CD4=0.90;T_CD8=0.00;
chr11	121237253	121255856	B=10.01;NK=1.93;T_CD4=7.74;T_CD8=6.85;
chr6	17281185	17289115	B=0.00;NK=0.28;T_CD4=0.00;T_CD8=0.06;
chr13	5861489	5870393	B=13.16;NK=47.41;T_CD4=18.21;T_CD8=16.65;
chr4	120405281	120530186	B=23.86;NK=33.21;T_CD4=9.25;T_CD8=16.11;
chr9	57521232	57532424	B=142.36;NK=221.90;T_CD4=175.75;T_CD8=169.52;
chr11	85832551	85841948	B=0.19;NK=0.00;T_CD4=0.00;T_CD8=0.18;
chr11	85886422	85916097	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chrY	2106015	2170409	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr11	95568818	95587735	B=0.71;NK=0.00;T_CD4=0.00;T_CD8=0.09;
chr11	103774150	103817957	B=0.00;NK=0.00;T_CD4=0.08;T_CD8=0.00;
chr11	59306928	59333552	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr17	63896018	64139494	B=0.00;NK=1.29;T_CD4=0.00;T_CD8=0.00;
chr7	126101715	126200501	B=102.32;NK=63.68;T_CD4=83.30;T_CD8=57.45;
chrX	7762560	7775202	B=17.99;NK=35.15;T_CD4=16.95;T_CD8=12.17;
chr11	108920349	108950783	B=0.00;NK=1.47;T_CD4=11.33;T_CD8=5.35;
chr5	140705011	140719379	B=4.41;NK=5.89;T_CD4=9.07;T_CD8=6.14;
chr5	140758408	140830431	B=3.07;NK=4.53;T_CD4=1.75;T_CD8=1.93;
chr7	143473721	143499334	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr16	96422288	96443619	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr16	96361668	96525580	B=0.52;NK=3.20;T_CD4=0.00;T_CD8=0.00;
chr9	50617321	50625000	B=2.68;NK=0.00;T_CD4=0.00;T_CD8=0.30;
chr9	50634633	50659780	B=3.19;NK=5.74;T_CD4=7.86;T_CD8=4.44;
chr9	50596338	50603849	B=35.37;NK=41.27;T_CD4=22.35;T_CD8=31.30;
chr6	127072902	127081408	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr6	127015542	127024718	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr6	127125779	127151048	B=22.16;NK=140.14;T_CD4=84.51;T_CD8=106.77;
chr2	31152316	31218775	B=12.84;NK=17.34;T_CD4=9.71;T_CD8=6.72;
chr14	123276641	123627144	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr11	114791217	114795945	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.15;
chr11	83175186	83190221	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.04;
chr7	142892752	142931128	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr7	142678656	142699510	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr7	121734479	121768475	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chrX	134404551	134456573	B=0.00;NK=0.00;T_CD4=0.04;T_CD8=0.00;
chr7	143005046	143019644	B=165.92;NK=164.24;T_CD4=260.50;T_CD8=69.08;
chr2	38339281	38369733	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chr6	128934381	128984707	B=0.00;NK=1.62;T_CD4=0.88;T_CD8=0.24;
chr13	45507444	45546382	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.21;
chr11	55514238	55608198	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
chrX	140664599	140767715	B=0.00;NK=0.00;T_CD4=0.04;T_CD8=0.00;
